Number:,Age:,Weight:,Height:,Gender,Jump Flight Time (Android):,Jump Flight Time (BioPlux):,Predicted_LSQ,Predicted_MLP
1,31,70,175,Male,429,455,396.10462126772404,399.76657136014813
10,31,70,175,Male,397,346,382.4959761050876,382.80647747041274
101,22,78,170,Male,430,437,398.3520279892861,403.02150811420864
102,22,78,170,Male,429,398,397.92675782795374,402.3402720888473
103,22,78,170,Male,398,395,384.7433828266497,384.6377926427848
104,22,78,170,Male,423,383,395.3751368599594,398.2528559366793
105,22,78,170,Male,430,430,398.3520279892861,403.02150811420864
106,22,78,170,Male,449,423,406.4321610546015,416.51751211060065
107,22,78,170,Male,382,379,377.93906024533146,378.42129685873346
108,22,78,170,Male,415,415,391.9729755693003,392.80296773378853
109,22,78,170,Male,415,414,391.9729755693003,392.80296773378853
11,31,70,175,Male,412,362,388.87502852507345,388.4092706107055
110,22,78,170,Male,415,381,391.9729755693003,392.80296773378853
111,22,78,170,Male,432,421,399.20256831195087,404.3839801649313
112,22,78,170,Male,416,409,392.39824573063265,393.4842037591498
113,22,78,170,Male,432,417,399.20256831195087,404.3839801649313
114,22,78,170,Male,431,425,398.7772981506185,403.70274413957
115,22,78,170,Male,414,386,391.5477054079679,392.1217317084272
116,22,78,170,Male,429,427,397.92675782795374,402.3402720888473
117,22,78,170,Male,431,428,398.7772981506185,403.70274413957
118,22,78,170,Male,446,422,405.15635057060433,414.2743451364107
119,22,78,170,Male,415,455,391.9729755693003,392.80296773378853
12,31,70,175,Male,366,367,369.31260110378355,374.2541907357264
120,22,78,170,Male,431,414,398.7772981506185,403.70274413957
121,22,78,170,Male,696,441,,
122,23,58,152,Female,381,371,369.20698252667137,374.45233434342964
123,23,58,152,Female,364,366,361.9773897840207,373.20021597830197
124,23,58,152,Female,381,296,369.20698252667137,374.45233434342964
125,23,58,152,Female,413,377,382.8156276893078,377.13160689805323
126,22,48,153,Female,381,436,422.53518055541065,419.25265212218864
127,22,48,153,Female,416,420,437.4196362020443,423.11697376363423
128,22,48,153,Female,508,399,,
13,31,70,175,Male,396,370,382.0707059437552,382.4329579277266
130,22,48,153,Female,380,400,422.10991039407827,419.1787376223751
131,22,48,153,Female,382,416,422.960450716743,419.3265666220022
132,22,48,153,Female,314,408,394.0420797461406,415.69813638481895
133,22,48,153,Female,546,458,,
134,22,48,153,Female,346,410,407.650724908777,416.6656446287121
