Timestamp:	X:	Y:	Z:	Acceleration:
1332171376100	-0.541589	0.9221902	-6.012599	6.1069717
1332171376126	0.40471485	0.6860733	-3.3476515	3.4411135
1332171376133	1.2728901	0.45031548	-0.76124287	1.5500077
1332171376136	1.670675	0.21492195	0.88413334	1.902377
1332171376150	1.284128	-0.09867859	1.5893278	2.0456502
1332171376156	0.6624894	-0.33363628	1.8258867	1.9708039
1332171376161	0.19796096	-0.49005222	1.6727104	1.7542235
1332171376167	-0.031232446	-0.56800413	1.2868681	1.4069945
1332171376178	-0.025339901	-0.64601135	1.1391487	1.3098216
1332171376187	-0.09851119	-0.64559174	1.0725327	1.2557147
1332171376198	-0.17239445	-0.80214596	0.92927647	1.2396421
1332171376212	-0.32564762	-1.037111	0.31685066	1.132272
1332171376228	-0.24437493	-1.1934261	-0.21606922	1.2372029
1332171376230	0.0714342	-0.8785653	-0.5131016	1.019928
1332171376245	0.3079218	-0.56328106	-0.4962759	0.81141305
1332171376261	0.46503836	-0.4042759	-0.24433994	0.6628738
1332171376262	0.4644306	-0.4799223	0.006910324	0.66788393
1332171376278	0.4631545	-0.7116542	0.10029316	0.85499847
1332171376279	0.38267857	-0.8637767	-0.19978237	0.9656428
1332171376294	0.30160362	-1.093343	-0.50100327	1.2399064
1332171376311	0.21988685	-1.1647449	-0.88194275	1.4774315
1332171376326	0.29444495	-1.2347717	-1.1856999	1.7370214
1332171376339	0.21142711	-1.3819616	-1.4122043	1.9871689
1332171376340	0.20636658	-1.5279279	-1.6397896	2.250791
1332171376342	0.35769558	-1.5939479	-1.7113714	2.3658843
1332171376347	0.5084808	-1.6584079	-1.5482283	2.325055
1332171376360	0.5018086	-1.7997322	-1.4639788	2.3736222
1332171376377	0.49466658	-1.860847	-1.6152401	2.5132544
1332171376379	0.33011663	-1.9201314	-2.0016503	2.793293
1332171376393	0.32210058	-1.8990204	-2.4658885	3.1289988
1332171376410	0.39214727	-1.8758895	-2.6936698	3.305843
1332171376411	0.46171808	-1.7718935	-2.6060023	3.1849706
1332171376427	0.6094149	-1.7443113	-2.4381604	3.0591886
1332171376442	0.67822427	-1.7143135	-2.3465223	2.984129
1332171376443	0.6682296	-1.6821647	-2.2524548	2.8895955
1332171376459	0.5008049	-1.5687332	-2.0765724	2.650261
1332171376461	0.33313587	-1.3750632	-1.7410474	2.2434404
1332171376475	0.24353476	-1.1790113	-1.3234558	1.7891092
1332171376492	0.15347877	-0.9805248	-0.5880337	1.1535892
1332171376494	0.06308533	-0.54476047	0.15082264	0.56876284
1332171376510	0.050728574	-0.028310776	0.89371586	0.895602
1332171376511	-0.040365487	0.48953295	1.8751726	1.9384387
1332171376526	-0.13176423	1.1659083	3.0954447	3.3103597
1332171376542	-0.3018635	1.9219642	4.4755287	4.880105
1332171376543	-0.3934952	2.6783295	6.0926294	6.6669645
1332171376559	-0.48522627	3.2783122	7.5544558	8.249398
1332171376560	-0.4982279	3.877366	8.78034	9.611273
1332171376575	-0.667825	4.317901	9.612115	10.558552
1332171376591	-1.1508543	4.8346167	10.440625	11.563072
1332171376593	-1.6332002	5.426501	11.499458	12.819977
1332171376608	-2.1146758	5.8571844	12.237549	13.730844
1332171376609	-2.8304603	6.282257	12.57353	14.337779
1332171376624	-3.466435	6.4656553	12.663311	14.634901
1332171376641	-3.8652444	6.7198696	12.58247	14.77888
1332171376643	-3.8694103	7.043367	12.406424	14.781769
1332171376658	-3.4000382	7.3570156	12.134031	14.591801
1332171376659	-2.9275126	7.5815988	11.450081	14.041202
1332171376673	-2.7653973	7.4030094	10.275975	12.963319
1332171376690	-2.6770768	6.89705	8.685262	11.409198
1332171376691	-2.7412174	6.2219515	6.8378534	9.642779
1332171376707	-2.5647378	5.4548635	4.9672585	7.8107023
1332171376708	-2.3822613	4.8294983	3.1495266	6.2384887
1332171376723	-1.5667357	4.426795	2.0178013	5.111037
1332171376748	-0.11708373	3.7734756	1.2549906	3.9784205
1332171376749	1.4167503	2.94979	0.47284985	3.306362
1332171376750	2.7201595	1.9575853	-0.08899212	3.3525107
1332171376757	3.3223834	0.9534106	0.19794655	3.462139
1332171376773	3.3011756	0.017037868	1.5723362	3.6565409
1332171376789	2.5771644	-0.9287329	3.0954714	4.1335535
1332171376791	1.5415473	-2.1175923	3.4366207	4.3209867
1332171376806	0.5071944	-3.1561062	2.0485907	3.796706
1332171376823	-0.3704546	-3.9632072	-0.28022194	3.990335
1332171376825	-0.93594044	-4.3001127	-2.918065	5.2803464
1332171376839	-1.1900947	-4.2445693	-5.07951	6.725631
1332171376841	-1.3693253	-4.0288453	-7.0753546	8.256349
1332171376855	-1.3173244	-3.7293456	-9.1391735	9.958305
1332171376872	-0.72043955	-3.4216118	-10.954067	11.4986105
1332171376874	-0.049730778	-3.2606206	-12.360932	12.783848
1332171376889	0.30206597	-3.322688	-13.200013	13.615133
1332171376890	0.4139154	-3.6066825	-13.391054	13.874431
1332171376905	0.5998217	-4.1111126	-13.323713	13.956446
1332171376921	0.7028694	-4.677494	-13.230187	14.050297
1332171376923	0.7233269	-5.2268643	-13.108609	14.13078
1332171376939	0.5828806	-5.680118	-13.035179	14.23093
1332171376940	0.51715064	-6.036908	-12.929586	14.278862
1332171376955	0.52644277	-6.3762603	-12.870272	14.372812
1332171376972	0.76763535	-6.461192	-13.010153	14.54649
1332171376973	1.0056112	-6.2925863	-12.957808	14.439967
1332171376988	1.3189423	-6.0269384	-12.790119	14.200378
1332171376989	1.3943046	-5.8242874	-12.513076	13.8724
1332171377005	1.3884883	-5.6827936	-12.122479	13.460184
1332171377021	1.4584332	-5.52344	-11.616927	12.945594
1332171377022	1.5259244	-5.34809	-11.078648	12.396247
1332171377038	1.7479842	-5.2359457	-10.509011	11.870547
1332171377039	2.0462837	-5.0316486	-10.068288	11.440069
1332171377054	2.2640433	-4.894123	-9.839076	11.219882
1332171377071	2.322331	-4.8215814	-9.503639	10.90688
1332171377072	2.378368	-4.7384515	-9.22517	10.640175
1332171377087	2.2750473	-4.723968	-9.00535	10.420559
1332171377089	2.0908718	-4.6229577	-8.769599	10.131601
1332171377103	1.8260667	-4.5165253	-8.523574	9.817577
1332171377120	1.715606	-4.24729	-8.266586	9.450885
1332171377122	1.3667169	-3.8153634	-7.920616	8.897251
1332171377136	0.8581602	-3.2230353	-7.412141	8.12799
1332171377153	0.34708297	-2.3149705	-6.352291	6.769871
1332171377169	-0.24467349	-1.24983	-4.1952863	4.384332
1332171377170	-0.6826118	-0.025746822	-1.4868522	1.6362613
1332171377171	-1.0436611	1.5884123	1.1366291	2.2145448
1332171377181	-0.699815	3.435088	3.0462546	4.6442695
1332171377187	0.19226226	4.9641056	4.6330347	6.792961
1332171377203	1.0837421	5.781752	6.601033	8.8417635
1332171377219	1.5827525	6.2005196	8.712479	10.810126
1332171377221	1.5329747	6.610964	9.708647	11.845365
1332171377236	0.9348186	6.8543677	9.351403	11.632068
1332171377253	-0.13304636	6.771825	8.893593	11.179056
1332171377254	-1.1992737	6.597255	8.646429	10.941791
1332171377270	-1.9500371	6.7202034	8.291948	10.849894
1332171377271	-2.07099	7.1403913	7.9863377	10.911268
1332171377285	-1.4050181	7.9334536	8.43181	11.662297
1332171377302	-0.57958084	8.629409	9.62969	12.943475
1332171377303	-0.22218294	8.8346195	10.872055	14.010762
1332171377319	-0.64621186	8.3088455	11.445932	14.158526
1332171377320	-1.1453255	7.605876	11.436653	13.782531
1332171377335	-1.3267996	7.0378857	11.626918	13.655675
1332171377352	-1.0333763	6.917211	11.936343	13.834449
1332171377369	-0.42216945	7.011135	12.212148	14.087966
1332171377371	0.27313384	7.0695224	12.276402	14.169079
1332171377372	0.89296937	7.1155343	11.456143	13.5156
1332171377385	1.281585	6.8264546	9.424322	11.707296
1332171377401	1.4382914	6.2857676	7.20835	9.671601
1332171377403	1.2845361	5.571581	5.8276825	8.164217
1332171377418	0.7419116	4.681469	5.7493734	7.4513
1332171377419	0.045009974	3.4626129	6.508813	7.372677
1332171377434	-0.80688405	2.3104005	7.3258753	7.7238245
1332171377451	-1.6570491	1.3017135	7.805845	8.085263
1332171377452	-1.878316	0.5972686	7.6405506	7.890679
1332171377467	-1.3925989	0.12061167	6.6758943	6.820663
1332171377468	-0.5925919	-0.047080517	4.993967	5.0292234
1332171377483	0.20759648	0.09727955	3.0696912	3.0782404
1332171377501	0.69419086	0.16066599	1.2930374	1.4763672
1332171377502	1.0238147	0.07086563	-0.090875626	1.03028
1332171377517	0.8827189	-0.32971334	-0.6925883	1.1694367
1332171377518	0.34910613	-1.0374045	-0.4276948	1.1751621
1332171377533	-0.34178567	-1.8147168	0.07911587	1.8483164
1332171377550	-1.111575	-2.3470492	-0.11439705	2.5994856
1332171377551	-1.4896823	-2.7888649	-0.9239168	3.2940164
1332171377566	-1.4762312	-2.9819248	-1.955472	3.8594046
1332171377583	-1.0712693	-3.0034823	-2.7358804	4.2016144
1332171377606	-0.51018596	-2.774169	-3.263173	4.313305
1332171377609	-0.028293252	-2.6846542	-3.6927319	4.565571
1332171377611	0.060633317	-2.5000768	-4.1803117	4.871249
1332171377612	-0.007787049	-2.3759904	-4.6457233	5.2180586
1332171377617	-0.23343751	-2.233903	-4.8526278	5.3472247
1332171377632	-0.38078856	-2.230667	-4.6431594	5.16525
1332171377650	-0.29282406	-2.1310325	-4.1736445	4.6953545
1332171377651	0.030498564	-2.0922809	-3.7575107	4.300867
1332171377665	0.19698724	-2.0322328	-3.5466928	4.092408
1332171377682	0.12784041	-2.1959057	-3.630228	4.2446322
1332171377683	-0.09826511	-2.5002775	-3.6876345	4.4564214
1332171377699	-0.16747752	-2.9475727	-3.6426592	4.6888375
1332171377700	-0.15834564	-3.068841	-3.4189224	4.5969434
1332171377715	-0.14934379	-3.0206137	-3.2506838	4.4399724
1332171377732	-0.2974822	-3.0397277	-3.2180815	4.4367204
1332171377733	-0.7597655	-2.8922334	-3.9509864	4.9550533
1332171377748	-0.82988715	-2.579135	-4.3521094	5.1265492
1332171377750	-0.58633053	-2.3370833	-4.1094313	4.7637343
1332171377764	-0.5784465	-2.1678362	-4.089141	4.6642456
1332171377781	-0.41372144	-1.7567573	-3.8191347	4.2241154
1332171377782	-0.092102855	-1.3411303	-3.459435	3.7114422
1332171377813	0.15105456	-1.0788102	-3.0899625	3.2763572
1332171377814	0.0018532574	-1.2069521	-2.635109	2.8983676
1332171377815	-0.30415872	-1.2546525	-2.4085493	2.732723
1332171377819	-0.3745928	-1.0662327	-2.569355	2.8069124
1332171377831	0.10448882	-0.56384706	-2.7260451	2.785707
1332171377847	0.6622367	-0.061800957	-2.1727266	2.2722495
1332171377849	1.0630732	0.2811389	-1.1482677	1.5898687
1332171377864	0.99309075	0.3077836	-0.5160322	1.1607107
1332171377882	0.60918415	0.25308943	-0.35506058	0.74915123
1332171377883	0.14660782	0.0376482	-0.35313606	0.38420868
1332171377898	-0.23786819	-0.025267601	-0.04045582	0.24260338
1332171377899	-0.46594936	-0.09327555	0.503005	0.6919705
1332171377913	-0.5377981	-0.16677713	1.1197987	1.2533916
1332171377930	-0.6104997	-0.16769981	1.2598696	1.4100016
1332171377931	-0.37014043	-0.09629345	1.0790863	1.1448597
1332171377946	-0.05210817	0.12585354	0.89053726	0.9008946
1332171377963	0.26512182	0.3414755	0.7720194	0.8848214
1332171377964	0.5032203	0.62936735	0.80150986	1.1365527
1332171377980	0.66219455	0.83214474	0.6642046	1.2538478
1332171377981	0.74217916	0.95043707	0.51716614	1.3121057
1332171377996	0.5861711	1.0622978	0.3594575	1.265418
1332171378013	0.27277583	1.090538	-0.042913437	1.124954
1332171378036	0.19427663	1.0346165	-0.5339627	1.1803775
1332171378039	0.35054946	0.89418983	-0.6434097	1.1560435
1332171378041	0.50623274	0.8272238	0.022748947	0.970097
1332171378042	0.6612989	0.8339362	1.2295756	1.6262293
